Date,Tested,Confirmed,Deaths,Hospitalized,Critical
02/27/2020 15:00:00,25,0,0,,
02/28/2020 15:00:00,5,0,0,,
02/29/2020 15:00:00,3,0,0,,
03/01/2020 15:00:00,3,0,0,,
03/02/2020 15:00:00,9,0,0,,
03/03/2020 15:00:00,1,0,0,,
03/04/2020 15:00:00,4,0,0,,
03/05/2020 15:00:00,6,0,0,,
03/06/2020 15:00:00,11,1,0,,
03/07/2020 15:00:00,24,0,0,,
03/08/2020 15:00:00,3,0,0,,
03/09/2020 15:00:00,7,1,0,,
03/10/2020 15:00:00,16,3,0,,
03/11/2020 15:00:00,34,13,0,,
03/12/2020 15:00:00,34,6,0,,
03/13/2020 15:00:00,54,11,0,,
03/14/2020 15:00:00,29,11,0,,
03/15/2020 15:00:00,15,2,0,,
03/16/2020 15:00:00,33,9,0,,
03/17/2020 15:00:00,58,15,0,,
03/18/2020 15:00:00,66,17,0,,
03/19/2020 15:00:00,66,14,0,,
03/20/2020 15:00:00,79,32,1,,
03/21/2020 15:00:00,86,36,0,,
03/22/2020 15:00:00,89,51,1,,
03/23/2020 15:00:00,61,27,1,,
03/24/2020 15:00:00,94,54,0,152,21
03/25/2020 15:00:00,245,81,1,203,24
03/26/2020 15:00:00,295,73,3,,25
03/27/2020 15:00:00,259,71,1,254,45
03/28/2020 15:00:00,371,131,2,334,49
03/29/2020 15:00:00,376,82,3,,
03/30/2020 15:00:00,622,44,3,540,62
03/31/2020 15:00:00,477,115,7,,
04/01/2020 15:00:00,810,160,5,648,72
04/02/2020 15:00:00,637,111,3,783,81
04/03/2020 15:00:00,748,305,8,874,81
04/04/2020 15:00:00,645,148,5,1046,89
04/05/2020 15:00:00,959,284,7,1082,98
04/06/2020 15:00:00,1192,292,7,1197,101
04/07/2020 15:00:00,1074,247,3,1394,109
04/08/2020 15:00:00,1135,219,4,1705,112
04/09/2020 15:00:00,1584,201,1,1907,127
04/10/2020 15:00:00,1893,238,5,2107,136
04/11/2020 15:00:00,2159,275,3,2436,145
04/12/2020 15:00:00,1913,250,6,2684,146
04/13/2020 15:00:00,2646,424,5,2890,138
04/14/2020 15:00:00,2440,411,9,3006,131
04/15/2020 15:00:00,2880,408,5,3245,128
04/16/2020 15:00:00,3194,445,4,3511,120
04/17/2020 15:00:00,3094,372,7,3765,122
04/18/2020 15:00:00,3462,304,7,3853,126
04/19/2020 15:00:00,2673,324,5,3900,120
04/20/2020 15:00:00,3111,312,3,3703,108
04/21/2020 15:00:00,3543,260,5,3660,101
04/22/2020 15:00:00,3281,224,4,3266,103
04/23/2020 15:00:00,2688,162,5,3477,96
04/24/2020 15:00:00,3563,207,5,3164,95
04/25/2020 15:00:00,5051,296,7,3135,91
04/26/2020 15:00:00,4365,263,5,3044,85
